date,sentiment_neg,sentiment_neu,sentiment_pos
2019-08-30 11:45:05+00:00,,,
2019-08-30 11:45:00+00:00,"0,0","1,0","0,0"
2019-08-30 11:40:01+00:00,"0,0","0,837","0,163"
2019-08-30 11:30:58+00:00,"0,068","0,932","0,0"
2019-08-30 11:29:47+00:00,"0,0","0,496","0,504"
2019-08-30 11:18:45+00:00,,,
2019-08-30 11:17:38+00:00,"0,0","0,64","0,36"
2019-08-30 11:17:32+00:00,"0,0","0,852","0,148"
2019-08-30 11:13:47+00:00,"0,0","0,87","0,13"
2019-08-30 11:05:32+00:00,,,
2019-08-30 11:01:15+00:00,,,
2019-08-30 11:00:29+00:00,"0,0","0,768","0,232"
2019-08-30 10:53:00+00:00,"0,0","0,788","0,212"
2019-08-30 10:44:54+00:00,"0,0","0,761","0,239"
2019-08-30 10:43:49+00:00,"0,0","0,903","0,097"
2019-08-30 10:42:16+00:00,,,
2019-08-30 10:39:42+00:00,,,
2019-08-30 10:35:02+00:00,"0,0","0,91","0,09"
