brand,Date,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_neg_perc,sentiment_pos_perc,polarity
Starbucks,2019-08-25,0.031,0.859,0.11,21.99,78.01,56.02000000000001
Starbucks,2019-08-26,0.036,0.841,0.123,22.64,77.36,54.72
Starbucks,2019-08-27,0.034,0.837,0.129,20.86,79.14,58.28
Starbucks,2019-08-28,0.031,0.842,0.127,19.62,80.38,60.75999999999999
Starbucks,2019-08-29,0.034,0.835,0.131,20.61,79.39,58.78
Starbucks,2019-08-30,0.034,0.835,0.13,20.73,79.27,58.53999999999999
Starbucks,2019-08-31,0.031,0.845,0.124,20.0,80.0,60.0
Starbucks,2019-09-01,0.033,0.847,0.12,21.57,78.43,56.86000000000001
Starbucks,2019-09-02,0.027,0.848,0.125,17.76,82.24,64.47999999999999
Starbucks,2019-09-03,0.028,0.853,0.119,19.05,80.95,61.900000000000006
Starbucks,2019-09-04,0.042,0.834,0.124,25.3,74.7,49.400000000000006
Starbucks,2019-09-05,0.03,0.853,0.118,20.27,79.73,59.46000000000001
Starbucks,2019-09-06,0.033,0.834,0.133,19.88,80.12,60.24000000000001
Starbucks,2019-09-07,0.027,0.82,0.154,14.92,85.08,70.16
Starbucks,2019-09-08,0.027,0.839,0.133,16.88,83.12,66.24000000000001
Starbucks,2019-09-09,0.036,0.836,0.128,21.95,78.05,56.099999999999994
Starbucks,2019-09-10,0.02,0.819,0.161,11.05,88.95,77.9
Starbucks,2019-09-11,0.033,0.842,0.125,20.89,79.11,58.22
Starbucks,2019-09-12,0.022,0.838,0.14,13.58,86.42,72.84
Starbucks,2019-09-13,0.029,0.83,0.141,17.06,82.94,65.88
Starbucks,2019-09-14,0.022,0.837,0.141,13.5,86.5,73.0
Starbucks,2019-09-15,0.025,0.839,0.135,15.62,84.38,68.75999999999999
Starbucks,2019-09-16,0.026,0.823,0.151,14.69,85.31,70.62
Starbucks,2019-09-17,0.023,0.837,0.141,14.02,85.98,71.96000000000001
Starbucks,2019-09-18,0.03,0.84,0.13,18.75,81.25,62.5
Starbucks,2019-09-19,0.028,0.827,0.144,16.28,83.72,67.44
Starbucks,2019-09-20,0.03,0.818,0.151,16.57,83.43,66.86000000000001
Starbucks,2019-09-21,0.025,0.826,0.149,14.37,85.63,71.25999999999999
Starbucks,2019-09-22,0.025,0.837,0.138,15.34,84.66,69.32
Starbucks,2019-09-23,0.03,0.838,0.132,18.52,81.48,62.96000000000001
Starbucks,2019-09-24,0.033,0.829,0.138,19.3,80.7,61.400000000000006
Starbucks,2019-09-25,0.028,0.83,0.142,16.47,83.53,67.06
Starbucks,2019-09-26,0.035,0.832,0.133,20.83,79.17,58.34
Starbucks,2019-09-27,0.032,0.833,0.135,19.16,80.84,61.68000000000001
