date;trend;replies;likes;caption
12/16/19, 09:09 AM;;0;0;$HNNMY NEW ARTICLE : H&M's sales grow 5% in fourth-quarter in local currencies dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
12/6/19, 03:05 PM;;0;0;$HNNMY NEW ARTICLE : Here’s Why H&M Is Testing Clothing Rentals In China dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
12/6/19, 12:53 PM;;0;0;$HNNMY NEW ARTICLE : H&M's brand COS to test clothing rentals in China with YCloset dashboard.stck.pro/news.php...
11/27/19, 12:13 PM;;0;0;$HNNMY NEW ARTICLE : H&M-backed startup puts bacteria to work in green dyeing process dashboard.stck.pro/news.php...
11/27/19, 12:00 PM;;0;0;Jefferies Financial Group Sets HENNES & MAURIT/ADR Q4 2019 Earnings Estimates at $0.05 EPS. themarketsdaily.com/2019/11... $HNNMY
11/25/19, 10:25 PM;;0;0;$GPS $HNNMY $IDEXY NEW ARTICLE : The Gap's CEO Is Leaving, But He's Leaving Some Problems Behind dashboard.stck.pro/news.php... Get all the latest $GPS related news here : dashboard.stck.pro/news.php...
11/16/19, 09:10 AM;;0;0;HENNES MAURITZ ($HNNMY) current daily volatility is 1.78%, with beta of 0.51 and alpha of… macroaxis.com/invest/market... #stocks #news #wallstreet
11/7/19, 07:53 PM;;0;0;$HNNMY NEW ARTICLE : Re-sale market drives hype around H&M designer collaborations dashboard.stck.pro/news.php...
10/25/19, 11:30 AM;;0;0;$HNNMY New Article : H&M opens new-look small boutique in Berlin, plans more dashboard.stck.pro/news.php...
10/15/19, 06:10 PM;Bullish;0;0;$HNNMY crossed a key trendline on 10/7/2019 suggesting a very bullish signal. Look into it. Do DD and GL!
10/15/19, 09:14 AM;;0;0;$HNNMY - Momentum Event: Relative Strength Index -- expect reversal after the weekend macroaxis.com/invest/Moment...
10/13/19, 03:18 PM;;0;0;$HNNMY - Price Alert: HENNES MAURITZ Cosine Of Price Series indicator suggests reversal in few days macroaxis.com/invest/Math-T...
10/11/19, 01:13 AM;;0;0;Conservative portfolio proposal: HENNES MAURITZ($HNNMY), First… macroaxis.com/invest/market... #correlations #stocks #stockratings
