date,sentiment_neg,sentiment_neu,sentiment_pos
2019-07-31 07:36:16+00:00,"0,0","0,671","0,329"
2019-07-31 07:35:59+00:00,"0,0","0,671","0,329"
2019-07-31 07:35:44+00:00,"0,0","0,671","0,329"
2019-07-31 07:35:19+00:00,,,
2019-07-31 07:33:53+00:00,,,
2019-07-31 07:28:49+00:00,"0,0","0,781","0,219"
2019-07-31 07:13:01+00:00,"0,065","0,935","0,0"
2018-08-13 16:54:49+00:00,"0,135","0,676","0,189"
2019-07-31 07:11:32+00:00,,,
2019-07-31 07:11:00+00:00,"0,069","0,886","0,045"
2019-07-31 07:10:36+00:00,,,
2019-07-31 07:06:52+00:00,"0,0","0,496","0,504"
2019-07-31 07:06:52+00:00,"0,0","1,0","0,0"
2019-07-31 07:00:10+00:00,"0,0","1,0","0,0"
2019-07-31 06:53:28+00:00,"0,107","0,758","0,135"
2019-07-31 06:52:51+00:00,,,
2019-07-31 06:45:23+00:00,"0,0","0,656","0,344"
2019-07-31 06:40:05+00:00,,,
2019-07-31 06:38:05+00:00,"0,0","0,573","0,427"
2019-07-31 06:35:04+00:00,,,
2019-07-31 06:32:27+00:00,"0,06","0,823","0,117"
2019-07-31 06:32:02+00:00,,,
2019-07-31 06:30:11+00:00,,,
2019-07-31 06:23:03+00:00,,,
2019-07-31 06:21:33+00:00,,,
2019-07-31 06:19:50+00:00,,,
2019-07-31 06:08:10+00:00,"0,0","1,0","0,0"
2019-07-31 06:07:18+00:00,,,
2019-07-31 06:00:44+00:00,"0,089","0,911","0,0"
2019-07-31 05:44:00+00:00,"0,0","1,0","0,0"
2019-07-31 05:35:32+00:00,"0,0","0,87","0,13"
2019-07-31 05:33:14+00:00,,,
2019-07-31 05:14:04+00:00,"0,0","1,0","0,0"
2019-07-31 05:13:50+00:00,"0,067","0,857","0,076"
2019-07-31 05:12:46+00:00,"0,067","0,857","0,076"
2019-07-31 04:55:14+00:00,,,
2019-07-31 04:21:02+00:00,"0,0","1,0","0,0"
2019-07-31 04:07:46+00:00,"0,507","0,493","0,0"
2019-07-31 04:04:35+00:00,,,
2019-07-31 03:54:17+00:00,"0,0","1,0","0,0"
2019-07-31 03:49:42+00:00,"0,0","1,0","0,0"
2019-07-31 03:31:15+00:00,,,
2019-07-31 03:30:27+00:00,"0,052","0,888","0,06"
2019-07-31 03:22:00+00:00,,,
2019-07-31 03:21:03+00:00,,,
2019-07-31 03:19:51+00:00,"0,0","1,0","0,0"
2019-07-31 03:03:15+00:00,,,
2019-07-31 03:02:38+00:00,,,
2019-07-31 03:02:29+00:00,"0,0","0,769","0,231"
2019-07-31 03:00:25+00:00,"0,0","1,0","0,0"
2019-07-31 02:59:08+00:00,"0,0","1,0","0,0"
2019-07-31 02:23:46+00:00,,,
2019-07-31 02:23:00+00:00,"0,078","0,683","0,239"
2019-07-31 02:20:58+00:00,"0,15","0,85","0,0"
2019-07-31 02:16:34+00:00,"0,0","1,0","0,0"
2019-07-31 02:16:04+00:00,"0,0","1,0","0,0"
2019-07-31 02:13:11+00:00,,,
2019-07-31 02:06:50+00:00,"0,0","0,496","0,504"
2019-07-31 02:06:35+00:00,,,
2019-07-31 02:04:14+00:00,,,
2019-07-31 01:55:51+00:00,"0,091","0,725","0,185"
2019-07-31 01:50:53+00:00,"0,0","0,763","0,237"
2019-07-31 01:43:46+00:00,"0,0","0,899","0,101"
2019-07-31 01:30:42+00:00,"0,0","0,73","0,27"
2019-07-31 01:28:48+00:00,"0,0","1,0","0,0"
2019-07-31 01:19:08+00:00,,,
2019-07-31 01:08:58+00:00,"0,017","0,801","0,182"
2019-07-31 01:04:50+00:00,,,
2019-07-31 01:04:23+00:00,"0,0","0,679","0,321"
2019-07-31 00:58:32+00:00,"0,0","0,839","0,161"
2019-07-31 00:57:19+00:00,"0,107","0,756","0,138"
2019-07-31 00:56:24+00:00,"0,241","0,552","0,207"
2019-07-31 00:51:23+00:00,"0,0","0,646","0,354"
2019-07-31 00:50:48+00:00,"0,0","1,0","0,0"
2019-07-31 00:43:34+00:00,,,
2019-07-31 00:26:01+00:00,"0,0","0,837","0,163"
2019-07-31 00:15:42+00:00,,,
2019-07-31 00:13:38+00:00,,,
2019-07-31 00:09:40+00:00,,,
2019-07-30 23:59:19+00:00,"0,141","0,859","0,0"
2019-07-30 23:54:13+00:00,,,
2019-07-30 23:53:26+00:00,"0,0","1,0","0,0"
2019-07-30 23:30:26+00:00,"0,0","1,0","0,0"
2019-07-30 23:24:04+00:00,"0,0","0,766","0,234"
2019-07-30 23:15:45+00:00,"0,0","1,0","0,0"
2019-07-30 23:13:12+00:00,"0,053","0,89","0,057"
2019-07-30 23:01:52+00:00,,,
2019-07-30 23:00:42+00:00,,,
2019-07-30 22:47:11+00:00,"0,0","0,704","0,296"
2019-07-30 22:46:03+00:00,"0,0","1,0","0,0"
2019-07-30 22:34:35+00:00,,,
2019-07-30 22:31:33+00:00,"0,0","1,0","0,0"
2019-07-30 22:29:04+00:00,,,
2019-07-30 22:21:40+00:00,"0,0","0,734","0,266"
2019-07-30 22:20:41+00:00,,,
2020-11-12 11:05:43+00:00,"0,0","0,85","0,15"
2019-07-30 22:16:38+00:00,"0,074","0,897","0,029"
2019-07-30 22:12:11+00:00,,,
2019-07-30 22:05:37+00:00,"0,0","0,846","0,154"
2019-07-30 22:05:00+00:00,"0,0","0,815","0,185"
2019-07-30 22:04:29+00:00,,,
2019-07-30 22:01:44+00:00,"0,0","0,759","0,241"
2019-07-30 21:57:06+00:00,"0,0","0,753","0,247"
2019-07-30 21:46:06+00:00,"0,106","0,664","0,23"
2019-07-30 21:45:03+00:00,"0,0","0,795","0,205"
2019-07-30 21:42:39+00:00,"0,0","1,0","0,0"
2019-07-30 21:32:01+00:00,"0,0","0,912","0,088"
2019-07-30 21:30:32+00:00,"0,0","1,0","0,0"
2019-07-30 21:30:03+00:00,,,
2019-07-30 21:30:00+00:00,,,
2019-07-30 21:26:53+00:00,,,
2019-07-30 21:23:50+00:00,"0,0","1,0","0,0"
2019-07-30 21:14:40+00:00,"0,029","0,917","0,054"
2019-07-30 21:06:45+00:00,"0,0","0,496","0,504"
2019-07-30 21:02:10+00:00,"0,045","0,849","0,106"
2019-07-30 21:00:58+00:00,,,
2019-07-30 20:56:07+00:00,"0,0","0,745","0,255"
2019-07-30 20:48:25+00:00,"0,0","0,67","0,33"
2019-07-30 20:45:07+00:00,"0,0","1,0","0,0"
2019-07-30 20:41:23+00:00,"0,0","1,0","0,0"
2019-07-30 20:40:27+00:00,"0,0","1,0","0,0"
2019-07-30 20:37:02+00:00,,,
2019-07-30 20:26:55+00:00,"0,0","0,887","0,113"
2019-07-30 20:17:51+00:00,"0,083","0,917","0,0"
2019-07-30 20:16:34+00:00,"0,083","0,917","0,0"
2019-07-30 20:10:17+00:00,"0,0","1,0","0,0"
2019-07-30 20:09:07+00:00,,,
2019-07-30 20:07:34+00:00,"0,046","0,872","0,082"
2019-07-30 20:03:05+00:00,"0,143","0,857","0,0"
2019-07-30 20:02:20+00:00,,,
2019-07-30 19:54:42+00:00,"0,0","0,789","0,211"
